Date,Open,High,Low,Close,Adj Close,Volume
2010-06-11,27.209774,28.128246,26.459099,28.128246,27.505880,1063921
2010-06-14,28.260719,28.393192,27.827976,28.207731,27.583605,686182
2010-06-15,28.260719,28.967237,27.845640,28.878923,28.239946,604315
2010-06-16,28.719955,29.143867,28.472675,29.143867,28.499029,661497
2010-06-17,28.958406,29.558947,28.578653,29.099710,28.455849,486894
2010-06-18,29.956364,29.965195,29.956364,29.965195,29.302183,11889
2010-06-21,29.850386,30.018183,29.152699,29.152699,28.507666,373663
2010-06-22,29.188025,30.548073,29.188025,30.062342,29.397181,485875
2010-06-23,30.150656,30.459757,29.497126,30.115330,29.448996,494934
2010-06-24,29.850386,30.327286,28.861259,28.861259,28.222675,474212
2010-06-25,29.029058,29.108541,28.543327,28.834764,28.196766,476137
2010-06-28,29.029058,29.037889,28.137079,28.834764,28.196766,540340
2010-06-29,28.137079,28.790607,26.971325,27.510044,26.901356,863728
2010-06-30,27.271593,27.633684,26.017525,26.565077,25.977297,1132087
2010-07-01,26.971325,26.971325,25.249187,25.522963,24.958241,945028
2010-07-02,25.717255,25.849728,25.169703,25.522963,24.958241,425070
2010-07-05,25.964537,25.964537,25.028400,25.222692,24.664614,372757
2010-07-06,25.620110,25.858559,25.222692,25.346333,24.785519,1350736
2010-07-07,25.496468,25.920380,25.461142,25.584784,25.018694,1009457
2010-07-08,25.779076,25.787907,25.178535,25.514132,24.949604,625490
2010-07-12,25.584784,25.611277,24.736961,25.319838,24.759609,863955
2010-07-13,25.355164,25.655434,25.143209,25.655434,25.087782,1567575
2010-07-14,25.602446,26.291302,25.478806,26.097008,25.519585,978998
2010-07-15,26.052851,26.459099,25.505299,25.796738,25.225958,1428866
2010-07-16,25.779076,25.779076,25.213861,25.346333,24.785519,808019
2010-07-19,25.355164,25.461142,24.507343,25.337502,24.776884,831910
2010-07-20,25.275681,25.558289,24.869432,25.434649,24.871881,1524320
2010-07-21,26.035189,26.052851,25.311007,25.478806,24.915060,738608
2010-07-22,25.876221,26.785864,25.876221,26.759369,26.167290,1520244
2010-07-23,26.768200,28.225393,26.591572,27.783819,27.169073,1280307
2010-07-26,27.642515,28.967237,26.953661,28.870090,28.231310,1470535
2010-07-27,28.878923,29.647261,28.702293,28.931911,28.291763,1739573
2010-07-28,28.640472,29.082047,28.048763,28.560989,27.929047,424391
2010-07-29,28.578653,28.825933,28.092922,28.357866,27.730419,692183
2010-07-30,28.163572,29.850386,28.163572,29.850386,29.189915,908228
2010-08-02,30.027016,30.185982,29.152699,29.179193,28.533573,671801
2010-08-03,29.143867,29.249846,28.578653,28.622810,27.989500,307649
2010-08-04,28.861259,29.143867,28.419685,28.684629,28.049952,471721
2010-08-05,28.552158,29.435307,28.455011,29.143867,28.499029,362680
2010-08-06,28.349033,28.675798,26.671055,27.015482,26.417736,2932126
2010-08-09,27.200943,27.200943,25.796738,25.955706,25.381409,2269043
2010-08-10,25.655434,26.750538,25.514132,26.406111,25.821848,1497598
2010-08-11,25.991032,26.220650,25.832064,25.876221,25.303682,539547
2010-08-12,25.734919,26.388447,25.620110,25.876221,25.303682,544869
2010-08-13,25.929211,26.141167,25.399323,25.743750,25.174143,675085
2010-08-16,25.522963,25.770245,25.452311,25.690760,25.122326,477156
2010-08-17,25.876221,26.052851,25.726086,25.876221,25.303682,519958
2010-08-18,25.876221,25.876221,25.478806,25.505299,24.940968,727171
2010-08-19,25.681929,26.441437,25.099052,26.061682,25.485041,1426149
2010-08-20,26.176493,26.494425,25.920380,26.308964,25.726851,666026
2010-08-23,26.308964,26.662224,25.346333,25.611277,25.044601,893848
2010-08-24,25.258018,25.681929,25.187366,25.611277,25.044601,492782
2010-08-25,25.363997,25.690760,25.302176,25.567120,25.001419,462097
2010-08-26,25.655434,25.743750,24.728130,24.904758,24.353714,944123
2010-08-27,24.966579,25.337502,24.454353,25.169703,24.612797,877996
2010-08-30,24.860601,25.311007,24.551500,24.551500,24.008272,1598
2010-08-31,24.728130,24.993074,24.613319,24.728130,24.180996,1362399
2010-09-01,25.311007,25.955706,24.816444,24.922422,24.370989,2020
2010-09-02,25.717255,26.026356,25.169703,25.752581,25.182779,496859
2010-09-03,25.867390,25.999863,25.019567,25.593615,25.027330,586085
2010-09-06,25.346333,25.611277,25.328671,25.346333,24.785519,198154
2010-09-08,25.134377,25.461142,25.037231,25.037231,24.483257,588463
2010-09-09,25.213861,25.832064,25.116714,25.575951,25.010056,1195836
2010-09-10,25.699593,25.867390,25.346333,25.478806,24.915060,411369
2010-09-13,25.832064,25.858559,25.469975,25.611277,25.044601,681426
2010-09-14,25.620110,26.202986,25.558289,25.999863,25.424589,935744
2010-09-15,25.929211,26.141167,25.593615,26.061682,25.485041,628660
2010-09-16,26.044020,27.112629,25.832064,27.024313,26.426373,1944522
2010-09-17,27.130291,27.854471,26.635729,27.730831,27.117256,1681485
2010-09-20,27.819145,28.260719,27.324583,27.969280,27.350431,1086228
2010-09-21,27.978111,28.251888,27.474718,28.163572,27.540424,1140239
2010-09-22,27.995775,28.684629,27.642515,28.675798,28.041317,2355
2010-09-23,28.366697,29.364655,28.128246,28.128246,27.505880,1523301
2010-09-24,28.260719,28.940742,27.501213,27.907461,27.289980,999493
2010-09-27,27.669010,27.898628,27.377571,27.686674,27.074078,588803
2010-09-28,27.686674,28.154741,27.563032,28.084089,27.462700,354980
2010-09-29,27.889797,28.172405,27.554201,28.172405,27.549063,513164
2010-09-30,28.163572,28.216562,27.253931,27.642515,27.030895,1694960
2010-10-01,27.898628,27.907461,27.139122,27.730831,27.117256,869163
2010-10-04,27.801483,27.819145,27.492380,27.730831,27.117256,466060
2010-10-05,27.730831,28.084089,27.722000,27.986944,27.367704,1111932
2010-10-06,28.101753,28.251888,27.739662,27.889797,27.272705,914569
2010-10-07,28.075258,28.075258,27.315752,27.722000,27.108624,555739
2010-10-08,27.492380,27.730831,27.333414,27.554201,26.944536,489612
2010-10-11,27.545370,27.722000,27.280426,27.377571,26.771814,458020
2010-10-13,27.624853,27.624853,26.759369,27.103796,26.504097,1140466
2010-10-14,27.103796,27.103796,26.635729,26.847685,26.253653,670782
2010-10-15,26.883011,27.112629,26.715212,26.715212,26.124109,472514
2010-10-18,27.015482,27.024313,26.600403,26.927168,26.331377,430505
2010-10-19,26.653391,26.865347,25.867390,25.867390,25.295048,804282
2010-10-20,25.911547,26.609234,25.787907,26.361952,25.778666,769973
2010-10-21,26.247143,26.671055,25.620110,26.061682,25.485041,622319
2010-10-22,26.211817,26.273638,25.434649,25.964537,25.390045,413747
2010-10-25,26.229481,26.353121,26.008694,26.229481,25.649128,255110
2010-10-26,26.061682,26.609234,25.779076,26.538582,25.951389,328031
